id,from,at,to,open,close,min,max,volume,SMA,RSI,Sinal
2520059,1722022620,1722022680004084812,1722022680,1.085765,1.08576,1.08571,1.08578,169,1.0857670000000001,40.81632653062612,Neutro
2520060,1722022680,1722022740000000000,1722022740,1.08576,1.085765,1.085715,1.085795,154,1.0857565,40.2061855670207,Neutro
2520061,1722022740,1722022800002146250,1722022800,1.085755,1.08572,1.08572,1.08581,140,1.0857420000000002,31.632653061229576,Neutro
2520062,1722022800,1722022860000000000,1722022860,1.085715,1.085765,1.0857,1.08577,178,1.0857400000000001,39.215686274531144,Neutro
2520063,1722022860,1722022920000000000,1722022920,1.085755,1.085725,1.08571,1.08577,172,1.0857424999999998,33.33333333333333,Neutro
2520064,1722022920,1722022980000000000,1722022980,1.085725,1.085675,1.08565,1.08575,259,1.0857375,32.11009174312487,Neutro
2520065,1722022980,1722023040000000000,1722023040,1.08568,1.08565,1.085625,1.085695,165,1.0857310000000002,30.97345132743189,Neutro
2520066,1722023040,1722023100000000000,1722023100,1.08568,1.085705,1.08563,1.085705,152,1.0857315,42.59259259258498,Neutro
2520067,1722023100,1722023160000000000,1722023160,1.085695,1.0857,1.085625,1.085705,134,1.085722,50.0,Neutro
2520068,1722023160,1722023220000000000,1722023220,1.0857,1.08565,1.085625,1.0857,117,1.0857115,42.26804123710963,Neutro
2520069,1722023220,1722023280000000000,1722023280,1.08565,1.085695,1.085635,1.085705,121,1.0857050000000001,48.076923076932104,Neutro
2520070,1722023280,1722023340000000000,1722023340,1.08569,1.0857,1.08565,1.08571,154,1.0856985,50.0,Neutro
2520071,1722023340,1722023400001169659,1722023400,1.0857,1.085715,1.08569,1.085765,95,1.085698,40.697674418598645,Neutro
2520072,1722023400,1722023460000000000,1722023460,1.085725,1.08581,1.085725,1.085845,149,1.0857025,55.67010309277407,Neutro
2520073,1722023460,1722023520000000000,1722023520,1.08581,1.085755,1.085735,1.08582,108,1.0857055,49.53271028037073,Neutro
2520074,1722023520,1722023580000000000,1722023580,1.08575,1.085715,1.085715,1.08582,129,1.0857095,45.61403508770972,Neutro
2520075,1722023580,1722023640000000000,1722023640,1.08572,1.08571,1.085705,1.085765,140,1.0857154999999998,49.05660377357859,Neutro
2520076,1722023640,1722023700000000000,1722023700,1.085715,1.08575,1.085695,1.085755,130,1.08572,48.571428571418906,Neutro
2520077,1722023700,1722023760000000000,1722023760,1.08575,1.08579,1.085725,1.08581,141,1.085729,56.19047619047579,Neutro
2520078,1722023760,1722023820000000000,1722023820,1.08579,1.08587,1.08579,1.08587,241,1.085751,67.56756756757406,Neutro
2520079,1722023820,1722023880001859600,1722023880,1.08586,1.08581,1.085785,1.08586,172,1.0857625,63.559322033901175,Neutro
2520080,1722023880,1722023940000000000,1722023940,1.08582,1.08583,1.08576,1.08584,176,1.0857755,61.261261261277845,Neutro
2520081,1722023940,1722024000003599175,1722024000,1.08583,1.085775,1.085765,1.08584,136,1.0857815,56.19834710742163,Neutro
2520082,1722024000,1722024060000000000,1722024060,1.085755,1.08572,1.085685,1.08576,213,1.0857725,55.73770491803398,Neutro
2520083,1722024060,1722024120003810278,1722024120,1.085725,1.085625,1.08562,1.08573,146,1.0857595,44.696969696967656,Neutro
2520084,1722024120,1722024180000000000,1722024180,1.085635,1.085625,1.085615,1.08567,97,1.0857505,44.27480916030042,Neutro
2520085,1722024180,1722024240000000000,1722024240,1.085615,1.085675,1.085615,1.085685,77,1.085747,47.101449275358824,Neutro
2520086,1722024240,1722024300000000000,1722024300,1.08568,1.085675,1.08567,1.085695,79,1.0857395,38.655462184872384,Neutro
2520087,1722024300,1722024360000000000,1722024360,1.085685,1.08568,1.08567,1.085695,97,1.0857285,43.119266055041756,Neutro
2520088,1722024360,1722024420000000000,1722024420,1.085675,1.08568,1.085655,1.085695,118,1.0857095,46.53465346534567,Neutro
2520089,1722024420,1722024480000000000,1722024480,1.085675,1.08567,1.085665,1.085705,90,1.0856955,46.078431372545175,Neutro
2520090,1722024480,1722024540000000000,1722024540,1.08568,1.08568,1.08567,1.085705,94,1.0856805,42.70833333333237,Neutro
2520091,1722024540,1722024600000000000,1722024600,1.08567,1.085715,1.08566,1.085745,112,1.0856745,42.105263157889816,Neutro
2520092,1722024600,1722024660000000000,1722024660,1.085705,1.085725,1.085705,1.085735,134,1.085675,32.09876543212786,Neutro
2520093,1722024660,1722024720000000000,1722024720,1.08572,1.085685,1.08567,1.085725,107,1.085681,33.76623376625548,Neutro
2520094,1722024720,1722024780000000000,1722024780,1.08569,1.08566,1.08565,1.08573,110,1.0856845,28.205128205134045,Compra
2520095,1722024780,1722024840000000000,1722024840,1.085665,1.085675,1.08565,1.0857,103,1.0856845,35.71428571428119,Neutro
2520096,1722024840,1722024900000000000,1722024900,1.085675,1.085655,1.085635,1.085695,109,1.0856824999999999,39.682539682537445,Neutro
2520097,1722024900,1722024960000000000,1722024960,1.08565,1.085625,1.085625,1.085665,97,1.085677,50.0,Neutro
2520098,1722024960,1722025020000000000,1722025020,1.085625,1.08567,1.085625,1.085685,86,1.0856759999999999,57.62711864404994,Neutro
2520099,1722025020,1722025080000000000,1722025080,1.08567,1.085675,1.085645,1.085695,117,1.0856765000000002,50.0,Neutro
2520100,1722025080,1722025140000000000,1722025140,1.085675,1.085655,1.08565,1.085685,108,1.0856739999999998,46.296296296310004,Neutro
2520101,1722025140,1722025200000000000,1722025200,1.085655,1.085655,1.08565,1.085685,104,1.085668,45.283018867930856,Neutro
2520102,1722025200,1722025260000000000,1722025260,1.085655,1.085655,1.08561,1.085655,112,1.085661,45.283018867930856,Neutro
2520103,1722025260,1722025320000000000,1722025320,1.085655,1.08563,1.08561,1.085655,130,1.0856555,42.85714285716551,Neutro
2520104,1722025320,1722025380000000000,1722025380,1.08563,1.085645,1.085615,1.08565,108,1.0856540000000001,43.85964912279335,Neutro
2520105,1722025380,1722025440000000000,1722025440,1.08564,1.085585,1.085585,1.08565,129,1.085645,29.032258064479166,Compra
2520106,1722025440,1722025500000000000,1722025500,1.08558,1.085655,1.08558,1.085665,96,1.085645,40.54054054052108,Neutro
2520107,1722025500,1722025560000000000,1722025560,1.085665,1.08566,1.08561,1.085665,93,1.0856485,46.268656716418896,Neutro
2520108,1722025560,1722025620000000000,1722025620,1.085665,1.085685,1.085645,1.0857,107,1.08565,53.7313432835811,Neutro
2520109,1722025620,1722025680000000000,1722025680,1.085675,1.085695,1.085675,1.085715,87,1.085652,53.0303030303275,Neutro
2520110,1722025680,1722025740000000000,1722025740,1.085695,1.08575,1.08568,1.085765,91,1.0856615,63.01369863014866,Neutro
2520111,1722025740,1722025800000000000,1722025800,1.08575,1.08569,1.08568,1.085755,121,1.085665,58.227848101274354,Neutro
2520112,1722025800,1722025860000000000,1722025860,1.08569,1.08569,1.08568,1.08571,99,1.0856685000000001,52.85714285716461,Neutro
2520113,1722025860,1722025920000000000,1722025920,1.08569,1.0857,1.08567,1.085725,100,1.0856755000000002,53.52112676058981,Neutro
2520114,1722025920,1722025980000000000,1722025980,1.08569,1.085695,1.085685,1.085725,99,1.0856805,55.88235294118607,Neutro
2520115,1722025980,1722026040000000000,1722026040,1.085705,1.08572,1.08568,1.085745,102,1.085694,58.90410958904526,Neutro
2520116,1722026040,1722026100000000000,1722026100,1.08572,1.085745,1.085715,1.08576,98,1.085703,61.53846153846154,Neutro
2520117,1722026100,1722026160000000000,1722026160,1.085715,1.08572,1.085715,1.085765,102,1.085709,61.53846153846154,Neutro
2520118,1722026160,1722026220000000000,1722026220,1.08572,1.08578,1.085715,1.085805,85,1.0857185,65.51724137931915,Neutro
2520119,1722026220,1722026280000000000,1722026280,1.08578,1.085745,1.085745,1.085805,104,1.0857235,69.5121951219532,Neutro
2520120,1722026280,1722026340000000000,1722026340,1.085745,1.085735,1.08573,1.085765,113,1.085722,61.42857142855602,Neutro
2520121,1722026340,1722026400000000000,1722026400,1.085745,1.085745,1.085725,1.085765,96,1.0857275,61.971830985904035,Neutro
2520122,1722026400,1722026460000000000,1722026460,1.085755,1.08575,1.085725,1.08576,83,1.0857335000000001,59.70149253731145,Neutro
2520123,1722026460,1722026520000000000,1722026520,1.08575,1.08574,1.085715,1.08575,96,1.0857375,56.716417910425996,Neutro
2520124,1722026520,1722026580000000000,1722026580,1.08573,1.085695,1.085695,1.085755,74,1.0857375,41.53846153847205,Neutro
2520125,1722026580,1722026640000000000,1722026640,1.085645,1.085645,1.08562,1.085665,86,1.08573,42.857142857132786,Neutro
2520126,1722026640,1722026700000000000,1722026700,1.085645,1.08565,1.08562,1.085665,112,1.0857205,43.74999999999566,Neutro
2520127,1722026700,1722026760000000000,1722026760,1.08565,1.085635,1.085625,1.08567,84,1.085712,39.99999999997267,Neutro
2520128,1722026760,1722026820000000000,1722026820,1.085625,1.085655,1.085625,1.085665,103,1.0856995,44.11764705882161,Neutro
2520129,1722026820,1722026880000000000,1722026880,1.085655,1.085655,1.08563,1.085665,95,1.0856905,39.682539682552,Neutro
2520130,1722026880,1722026940000000000,1722026940,1.085655,1.085665,1.08564,1.085665,90,1.0856835,36.66666666670861,Neutro
2520131,1722026940,1722027000000000000,1722027000,1.085675,1.085645,1.085615,1.085675,102,1.0856735,37.288135593238195,Neutro
2520132,1722027000,1722027060000000000,1722027060,1.085655,1.08563,1.085625,1.08566,119,1.0856615,20.000000000088818,Compra
2520133,1722027060,1722027120000000000,1722027120,1.08562,1.08562,1.085615,1.08568,105,1.0856495000000002,22.222222222309938,Compra
2520134,1722027120,1722027180000000000,1722027180,1.08562,1.085635,1.0856,1.085645,101,1.0856435000000002,28.260869565257266,Compra
2520135,1722027180,1722027240000000000,1722027240,1.085635,1.08554,1.08553,1.085635,83,1.085633,17.460317460345422,Compra
2520136,1722027240,1722027300000000000,1722027300,1.085545,1.085535,1.08552,1.085565,115,1.0856215,15.873015873034902,Compra
2520137,1722027300,1722027360000000000,1722027360,1.085535,1.08554,1.085525,1.085565,102,1.085612,17.741935483901017,Compra
2520138,1722027360,1722027420000000000,1722027420,1.085535,1.085515,1.08548,1.085555,148,1.085598,18.965517241404385,Compra
2520139,1722027420,1722027480000000000,1722027480,1.085525,1.085535,1.0855,1.08555,108,1.085586,28.846153846155488,Compra
2520140,1722027480,1722027540000000000,1722027540,1.08554,1.085525,1.085515,1.08559,84,1.085572,26.415094339632134,Compra
2520141,1722027540,1722187858000000000,1722027600,1.08552,1.08552,1.08552,1.08554,72,1.0855595,27.450980392173932,Compra
